,,単語,意味,フレーズ,訳,英作問題,和訳問題,
81 ,,estimate,推定,the estimated population of Japan,日本の推定人口,the (    ) population of Japan,日本の(    )人口,
82 ,,aim,ねらう,aim at the Asian market,アジア市場をねらう,(    ) at the Asian market,アジア市場を(    ),
83 ,,earn,かせぐ,earn money for the family,家族のためにお金をかせぐ,(    ) money for the family,家族のためにお金を(    ),
84 ,,decline,低下し,My memory began to decline.,記憶力が低下し始めた,My memory began to (    ).,記憶力が(    )始めた,
85 ,,afford,余裕がない,can't afford to buy a Ford,フォードを買う余裕がない,can't (    ) to buy a Ford,フォードを買う(    ),
86 ,,confuse,当惑する,be confused by her anger,彼女の怒りに当惑する,be (    ) by her anger,彼女の怒りに(    ),
87 ,,graduate,卒業する,graduate from high school,高校を卒業する,(    ) from high school,高校を(    ),
88 ,,vary,変わる,vary from country to country,国によって変わる,(    ) from country to country,国によって(    ),
89 ,,remove,を取り除く,remove the cover,カバーを取り除く,(    ) the cover,カバー(    ),
90 ,,insist,言い張る,insist on going to France,フランスへ行くと言い張る,(    ) on going to France,フランスへ行くと(    ),
91 ,,examine,を調べる,examine every record,あらゆる記録を調べる,(    ) every record,あらゆる記録(    ),
92 ,,remind,を思い出させる,remind him of the promise,彼に約束を思い出させる,(    ) him of the promise,彼に約束(    ),
93 ,,contribute,貢献する,contribute to world peace,世界平和に貢献する,(    ) to world peace,世界平和に(    ),
94 ,,warn,警告する,warn him of the danger,彼に危険を警告する,(    ) him of the danger,彼に危険を(    ),
95 ,,connect,つなぐ,connect the computer to the Internet,コンピューターをインターネットにつなぐ,(    ) the computer to the Internet,コンピューターをインターネットに(    ),
96 ,,match,に匹敵する,match him in power,力で彼に匹敵する,(    ) him in power,力で彼(    ),
97 ,,focus,焦点を合わせる,focus on the problem,その問題に焦点を合わせる,(    ) on the problem,その問題に(    ),
98 ,,reject,を拒否する,reject the proposal,提案を拒否する,(    ) the proposal,提案(    ),
99 ,,convince,に確信させる,convince him that it is true,それは本当だと彼に確信させる,(    ) him that it is true,それは本当だと彼(    ),
100 ,,associate,関連している,Health is associated with happiness.,健康は幸福と関連している,Health is (    ) with happiness.,健康は幸福と(    ),
101 ,,rush,急いで行く,rush into the hospital,病院へ急いで行く,(    ) into the hospital,病院へ(    ),
102 ,,stress,を強調する,stress the need for information,情報の必要性を強調する,(    ) the need for information,情報の必要性(    ),
103 ,,attract,を引き付ける,attract his attention,彼の注意を引き付ける,(    ) his attention,彼の注意(    ),
104 ,,rely,頼る,rely on their power,彼らの力に頼る,(    ) on their power,彼らの力に(    ),
105 ,,regret,を後悔する,regret leaving home,家を出たのを後悔する,(    ) leaving home ,家を出たの(    ),
106 ,,adopt,を採用する,adopt a new system,新しいシステムを採用する,(    ) a new system,新しいシステム(    ),
107 ,,shake,振る,shake the bottle well,ビンをよく振る,(    ) the bottle well,ビンをよく(    ),
108 ,,hurt,を傷つける,hurt her feelings,彼女の気持ちを傷つける,(    ) her feelings,彼女の気持ち(    ),
109 ,,operate,を操作する,operate a computer with a mouse,マウスでコンピューターを操作する,(    ) a computer with a mouse,マウスでコンピューター(    ),
110 ,,extend,を延ばす,Exercise extends life.,運動は寿命を延ばす,Exercise (    ) life. ,運動は寿命(    ),
111 ,,blame,のせいにする,blame others for the failure,失敗を他人のせいにする,(    ) others for the failure,失敗を他人(    ),
112 ,,consist,構成されている,The book consists of six lessons.,その本は6課で構成されている,The book (    ) of six lessons.,その本は6課で(    ),
113 ,,persuade,を説得して,persuade them to go back,彼らを説得して帰らせる,(    ) them to go back,彼ら(    )帰らせる,
114 ,,admire,に感嘆する,admire her work,彼女の仕事に感嘆する,(    ) her work,彼女の仕事(    ),
115 ,,disappoint,失望する,be disappointed with the test results,試験の結果に失望する,be (    ) with the test results,試験の結果に(    ),
116 ,,expand,を拡大する,expand the market,市場を拡大する,(    ) the market,市場(    ),
117 ,,preserve,を保護する,preserve forests,森林を保護する,(    ) forests,森林(    ),
118 ,,struggle,もがく,struggle to get free,自由になろうともがく,(    ) to get free,自由になろうと(    ),
119 ,,arrange,の手はずを整える,arrange the meeting,会議の手はずを整える,(    ) the meeting,会議(    ),
120 ,,disturb,をさまたげる,disturb his sleep,彼の睡眠をさまたげる,(    ) his sleep,彼の睡眠(    ),
121 ,,employ,を雇う,employ foreign workers,外国人労働者を雇う,(    ) foreign workers,外国人労働者(    ),
122 ,,engage,従事する,engage in volunteer activities,ボランティア活動に従事する,(    ) in volunteer activities,ボランティア活動に(    ),
123 ,,abandon,捨てられた,an abandoned pet,捨てられたペット,an (    ) pet,(    )ペット,
124 ,,display,を示す,display prices,価格を示す,(    ) prices,価格(    ),
125 ,,encounter,に出会う,encounter many difficulties,数々の困難に出会う,(    ) many difficulties,数々の困難(    ),
126 ,,amuse,を笑わせる,amuse students with jokes,冗談で学生を笑わせる,(    ) students with jokes,冗談で学生(    ),
127 ,,bother,おじゃまして,"Sorry to bother you, but …",おじゃましてすいませんが…,"Sorry to (    ) you, but …",(    )すいませんが…,
128 ,,concentrate,集中する,concentrate on what he is saying,彼の話に集中する,(    ) on what he is saying,彼の話に(    ),
129 ,,adapt,適応する,adapt to a new culture,新しい文化に適応する,(    ) to a new culture,新しい文化に(    ),
130 ,,puzzle,頭を悩ませる,be puzzled by the problem,その問題に頭を悩ませる,be (    ) by the problem,その問題に(    ),
131 ,,appeal,訴えかける,appeal to his feelings,彼の感情に訴えかける,(    ) to his feelings,彼の感情に(    ),
132 ,,combine,を組み合わせる,combine song and dance,歌と踊りを組み合わせる,(    ) song and dance,歌と踊り(    ),
133 ,,delay,を遅らせる,delay his arrival,彼の到着を遅らせる,(    ) his arrival,彼の到着(    ),
134 ,,repair,修理する,repair the car,車を修理する,(    ) the car,車を(    ),
135 ,,fascinate,夢中にさせる,a fascinating story,夢中にさせる物語,a (    ) story,(    )物語,
136 ,,pardon,ごめんなさい,Pardon me.,ごめんなさい,(    ) me.,(    ),
137 ,,import,を輸入する,import food from abroad,海外から食料を輸入する,(    ) food from abroad,海外から食料(    ),
138 ,,remark,と述べる,remark that he is kind,彼は親切だと述べる,(    ) that he is kind,彼は親切だ(    ),
139 ,,reserve,を予約する,reserve a room at a hotel,ホテルの部屋を予約する,(    ) a room at a hotel,ホテルの部屋(    ),
140 ,,amaze,驚異的な,at an amazing speed,驚異的な速さで,at an (    ) speed,(    )速さで,
141 ,,frighten,ぞっとするような,frightening experiences,ぞっとするような経験,(    ) experiences,(    )経験,
142 ,,release,を解放する,release him from work,仕事から彼を解放する,(    ) him from work,仕事から彼(    ),
143 ,,rent,を借りる,rent an apartment,アパートを借りる,(    ) an apartment,アパート(    ),
144 ,,recover,回復する,recover from illness,病気から回復する,(    ) from illness,病気から(    ),
145 ,,suspect,ではないかと思う,suspect him of being a spy,彼をスパイではないかと思う,(    ) him of being a spy,彼をスパイ(    ),
146 ,,deliver,を渡す,deliver a message to a friend,友人に伝言を渡す,(    ) a message to a friend,友人に伝言(    ),
147 ,,identify,の本人確認をする,identify people by their eyes,目で人の本人確認をする,(    ) people by their eyes,目で人(    ),
148 ,,locate,ある,The office is located in the area.,オフィスはその地域にある,The office is (    ) in the area.,オフィスはその地域に(    ),
149 ,,manufacture,を製造する,a car manufacturing company,車を製造する会社,a car (    ) company,車(    )会社,
150 ,,occupy,を占める,occupy a high position,高い地位を占める,(    ) a high position,高い地位(    ),
151 ,,own,を所有している,own a house,家を所有している,(    ) a house ,家(    ),
152 ,,expose,さらされる,be exposed to danger,危険にさらされる,be (    ) to danger,危険に(    ),
153 ,,translate,翻訳する,translate a novel into English,小説を英語に翻訳する,(    ) a novel into English,小説を英語に(    ),
154 ,,cure,を治す,cure him of his illness,彼の病気を治す,(    ) him of his illness,彼の病気(    ),
155 ,,perceive,に気づく,perceive danger,危険に気づく,(    ) danger,危険(    ),
156 ,,adjust,慣れる,adjust to a new school,新しい学校に慣れる,(    ) to a new school,新しい学校に(    ),
157 ,,alarm,ぎょっとする,be alarmed by the noise,その音にぎょっとする,be (    ) by the noise,その音に(    ),
158 ,,assist,手伝う,assist him in his work,彼の仕事を手伝う,(    ) him in his work,彼の仕事を(    ),
159 ,,freeze,凍った,a frozen stream,凍った小川,a (    ) stream,(    )小川,
160 ,,spoil,を台無しにする,spoil the party,パーティを台無しにする,(    ) the party,パーティ(    ),
161 ,,shift,を変える,shift gears,ギアを変える,(    ) gears,ギア(    ),
162 ,,embarrass,恥ずかしい,be embarrassed by the mistake,そのまちがいは恥ずかしい,be (    ) by the mistake,そのまちがいは(    ),
163 ,,approve,承認する,approve of their marriage,二人の結婚を承認する,(    ) of their marriage,二人の結婚を(    ),
164 ,,weigh,の重さがある,weigh 65 kilograms,65キログラムの重さがある,(    ) 65 kilograms,65キログラム(    ),
165 ,,stretch,を広げる,stretch my legs,足を広げる,(    ) my legs,足(    ),
166 ,,participate,参加する,participate in the meeting,会議に参加する,(    ) in the meeting,会議に(    ),
167 ,,exhibit,を展示する,exhibit Picasso's works,ピカソの作品を展示する,(    ) Picasso's works,ピカソの作品(    ),
168 ,,owe,のおかげだ,I owe my success to you.,私の成功はあなたのおかげだ,I (    ) my success to you.,私の成功はあなた(    ),
169 ,,celebrate,を祝う,celebrate his birthday,彼の誕生日を祝う,(    ) his birthday,彼の誕生日(    ),
170 ,,decorate,飾られた,trees decorated with lights,電球で飾られた木々,trees (    ) with lights,電球で(    )木々,
171 ,,forgive,を許す,forgive him for being late,彼の遅刻を許す,(    ) him for being late,彼の遅刻(    ),
172 ,,seat,座っている,be seated on the bench,ベンチで座っている,be (    ) on the bench,ベンチで(    ),
173 ,,injure,負傷する,be injured in the accident,その事故で負傷する,be (    ) in the accident,その事故で(    ),
174 ,,sew,を縫う,sew a wedding dress,ウエディングドレスを縫う,(    ) a wedding dress,ウエディングドレス(    ),
175 ,,result,結果,the result of the test,テストの結果,the (    ) of the test,テストの(    ),
176 ,,feature,特徴,features of human language,人類の言語の特徴,(    ) of human language,人類の言語の(    ),
177 ,,society,社会,the problems of modern society,現代社会の問題,the problems of modern (    ),現代(    )の問題,
178 ,,wheel,車,a water wheel,水車,a water (    ),水(    ),
179 ,,value,価値,put a high value on education,教育に高い価値を置く,put a high (    ) on education,教育に高い(    )を置く,
180 ,,effect,効果,the greenhouse effect of CO2,二酸化炭素の温室効果,the greenhouse (    ) of CO2,二酸化炭素の温室(    ),
181 ,,individual,個人,individuals in society,社会の中の個人,(    ) in society,社会の中の(    ),
182 ,,influence,影響,have a bad influence on children,子供に悪い影響を与える,have a bad (    ) on children,子供に悪い(    )を与える,
183 ,,fee,料,charge a fee for the service,サービス料を請求する,charge a (    ) for the service,サービス(    )を請求する,
184 ,,rate,割合,at the rate of 40% a year,年40％の割合で,at the (    ) of 40% a year,年40％の(    )で,
185 ,,sign,きざし,a sign of spring,春のきざし,a (    ) of spring,春の(    ),
186 ,,service,事業,water and gas service,水道とガスの事業,water and gas (    ),水道とガスの(    ),
187 ,,advance,進歩,advances in technology,科学技術の進歩,(    ) in technology,科学技術の(    ),
188 ,,laughter,笑い,Laughter is the best medicine.,笑いは最高の良薬だ,(    ) is the best medicine.,(    )は最高の良薬だ,
189 ,,material,物質,produce new materials,新しい物質をつくる,produce new (    ),新しい(    )をつくる,
190 ,,industry,工業,a center of heavy industry,重工業の中心地,a center of heavy (    ),重(    )の中心地,
191 ,,attempt,試み,an attempt to break the record,記録を破ろうとする試み,an (    ) to break the record,記録を破ろうとする(    ),
192 ,,trade,貿易,US trade with France,アメリカとフランスの貿易,US (    ) with France,アメリカとフランスの(    ),
193 ,,progress,進歩,You've made progress in English.,君の英語は進歩した,You've made (    ) in English.,君の英語は(    )した,
194 ,,excuse,言い訳,make an excuse to leave early,早く帰るための言い訳をする,make an (    ) to leave early,早く帰るための(    )をする,
195 ,,custom,習慣,the custom of tipping,チップを払う習慣,the (    ) of tipping,チップを払う(    ),
196 ,,passage,一節,Read the following passage.,次の一節を読みなさい,Read the following (    ).,次の(    )を読みなさい,
197 ,,economy,経済,the market economy,市場経済,the market (    ),市場(    ),
198 ,,track,足跡,the tracks of a lion,ライオンの足跡,the (    ) of a lion,ライオンの(    ),
199 ,,transportation,交通機関,use public transportation,公共交通機関を使う,use public (    ),公共(    )を使う,
200 ,,official,役人,a government official,政府の役人,a government (    ),政府の(    ),
201 ,,sight,一目,love at first sight,一目ぼれ,love at first (    ),(    )ぼれ,
202 ,,taste,味,a taste of lemon,レモンの味,a (    ) of lemon,レモンの(    ),
203 ,,range,範囲,a wide range of information,広範囲の情報,a wide (    ) of information,広(    )の情報,
204 ,,appointment,予約,make an appointment with the doctor,医者に予約する,make an (    ) with the doctor,医者に(    )する,
205 ,,patient,患者,a doctor and a patient,医者と患者,a doctor and a (    ),医者と(    ),
206 ,,project,計画,a business project,事業計画,a business (    ),事業(    ),
207 ,,favor,頼み,Would you do me a favor?,頼みを聞いてもらえませんか,Would you do me a (    )?,(    )を聞いてもらえませんか,
208 ,,appearance,外見,differ in appearance,外見が違う,differ in (    ),(    )が違う,
209 ,,risk,危険,run the risk of losing money,お金を失う危険を冒す,run the (    ) of losing money,お金を失う(    )を冒す,
210 ,,benefit,利益,costs and benefits of the business,仕事のコストと利益,costs and (    ) of the business,仕事のコストと(    ),
211 ,,resident,市民,residents of New York,ニューヨークの市民,(    ) of New York,ニューヨークの(    ),
212 ,,relative,親戚,their relatives and friends,彼らの親戚と友達,their (    ) and friends,彼らの(    )と友達,
213 ,,region,地方,a mountain region,山岳地方,a mountain (    ),山岳(    ),
214 ,,characteristic,特徴,unique characteristics,ユニークな特徴,unique (    ),ユニークな(    ),
215 ,,pain,痛み,feel a sharp pain,鋭い痛みを感じる,feel a sharp (    ),鋭い(    )を感じる,
216 ,,twin,双生児,a pair of identical twins,一組の一卵双生児,a pair of identical (    ),一組の一卵(    ),
217 ,,occasion,場合,on special occasions,特別な場合に,on special (    ),特別な(    )に,
218 ,,principle,原則,the principle of free trade,自由貿易の原則,the (    ) of free trade,自由貿易の(    ),
219 ,,department,学科,the history department,歴史学科,the history (    ),歴史(    ),
220 ,,duty,義務,It is my duty to help you.,君を助けるのが私の義務だ,It is my (    ) to help you.,君を助けるのが私の(    )だ,
221 ,,scene,現場,the scene of the accident,事故の現場,the (    ) of the accident,事故の(    ),
222 ,,jam,渋滞,avoid traffic jams,交通渋滞を避ける,avoid traffic (    ),交通(    )を避ける,
223 ,,spirit,精神,the spirit of fair play,フェアプレーの精神,the (    ) of fair play,フェアプレーの(    ),
224 ,,medium,手段,the medium of communication,コミュニケーションの手段,the (    ) of communication,コミュニケーションの(    ),
225 ,,mass,大量,mass production,大量生産,(    ) production,(    )生産,
226 ,,audience,観客,gather a large audience,大勢の観客を集める,gather a large (    ),大勢の(    )を集める,
227 ,,element,要素,the most important element,最も重要な要素,the most important (    ),最も重要な(    ),
228 ,,climate,気候,global climate change,地球規模の気候変動,global (    ) change,地球規模の(    )変動,
229 ,,revolution,革命,the French Revolution,フランス革命,the French (    ),フランス(    ),
230 ,,quarter,4分の1,the first quarter of this century,今世紀の最初の4分の1,the first (    ) of this century,今世紀の最初の(    ),
231 ,,furniture,家具,a room with little furniture,家具の少ない部屋,a room with little (    ),(    )の少ない部屋,
232 ,,brain,脳,the human brain,人間の脳,the human (    ),人間の(    ),
233 ,,atmosphere,大気,CO2 in the earth's atmosphere,地球の大気中の二酸化炭素,CO2 in the earth's (    ),地球の(    )中の二酸化炭素,
234 ,,property,財産,private property,私有財産,private (    ),私有(    ),
235 ,,reward,報酬,a reward for hard work,努力の報酬,a (    ) for hard work,努力の(    ),
236 ,,security,安全保障,national security,国家の安全保障,national (    ),国家の(    ),
237 ,,delight,喜び,give a cry of delight,喜びの声をあげる,give a cry of (    ),(    )の声をあげる,
238 ,,desert,砂漠,a deserted road in the desert,砂漠の人影のない道,a (    ) road in the desert,(    )の人影のない道,
239 ,,background,経歴,people from different backgrounds,経歴の違う人々,people from different (    ),(    )の違う人々,
240 ,,trend,傾向,a trend toward fewer children,少子化の傾向,a (    ) toward fewer children,少子化の(    ),
241 ,,vote,票,get 20% of the vote,20%の票を得る,get 20% of the (    ),20%の(    )を得る,
242 ,,impact,影響,a negative impact on the environment,環境に対する悪い影響,a negative (    ) on the environment,環境に対する悪い(    ),
243 ,,institution,機関,educational institutions,教育機関,educational (    ),教育(    ),
244 ,,interaction,交流,social interaction with others,他人との社会的交流,social (    ) with others,他人との社会的(    ),
245 ,,alternative,代わりになるもの,an alternative to oil,石油の代わりになるもの,an (    ) to oil,石油の(    ),
246 ,,harm,害,do no harm to children,子供に害を与えない,do no (    ) to children,子供に(    )を与えない,
247 ,,agency,代理店,go to a travel agency,旅行代理店に行く,go to a travel (    ),旅行(    )に行く,
248 ,,capacity,能力,man's great capacity to learn,すばらしい人間の学習能力,man's great (    ) to learn,すばらしい人間の学習(    ),
249 ,,minister,大臣,the Italian foreign minister,イタリアの外務大臣,the Italian foreign (    ),イタリアの外務(    ),
250 ,,volunteer,ボランティア,a hospital volunteer,病院で働くボランティア,a hospital (    ),病院で働く(    ),
251 ,,access,利用,have access to the Internet,インターネットを利用できる,have (    ) to the Internet,インターネットを(    )できる,
252 ,,quantity,量,large quantities of data,膨大な量のデータ,large (    ) of data,膨大な(    )のデータ,
253 ,,branch,分野,a branch of science,科学の一分野,a (    ) of science,科学の一(    ),
254 ,,common,共通の,a common language,共通の言語,a (    ) language,(    )言語,
255 ,,rough,大雑把な,a rough sketch,大雑把なスケッチ,a (    ) sketch,(    )スケッチ,
256 ,,likely,可能性が高い,He is likely to win.,彼が勝つ可能性が高い,He is (    ) to win.,彼が勝つ(    ),
257 ,,serious,深刻な,serious social problems,深刻な社会問題,(    ) social problems,(    )社会問題,
258 ,,particular,特有の,a particular character,特有の性質,a (    ) character,(    )性質,
259 ,,available,利用できる,information available to everyone,みんなが利用できる情報,information (    ) to everyone,みんなが(    )情報,
260 ,,bilingual,二言語使用の,bilingual children,二言語使用の子供たち,(    ) children,(    )子供たち,
261 ,,ready,用意ができている,I am ready to start.,出発の用意ができている,I am (    ) to start.,出発の(    ),
262 ,,correct,正しい,the correct answer,正しい答え,the (    ) answer,(    )答え,
263 ,,familiar,くわしい,be familiar with Japanese culture,日本の文化にくわしい,be (    ) with Japanese culture,日本の文化に(    ),
264 ,,physical,肉体,physical beauty,肉体美,(    ) beauty,(    )美,
265 ,,worth,価値がある,The book is worth reading.,その本は読む価値がある,The book is (    ) reading.,その本は読む(    ),
266 ,,involved,巻き込まれている,be involved in the accident,事故に巻き込まれている,be (    ) in the accident,事故に(    ),
267 ,,fantastic,素晴らしい,I had a fantastic time.,私は素晴らしい時を過ごした,I had a (    ) time.,私は(    )時を過ごした,
268 ,,private,私,her private life,彼女の私生活,her (    ) life,彼女の(    )生活,
269 ,,obvious,明白な,an obvious mistake,明白なまちがい,an (    ) mistake,(    )まちがい,
270 ,,native,母,a native language,母語,a (    ) language,(    )語,
271 ,,complex,複雑な,a complex system,複雑なシステム,a (    ) system,(    )システム,
272 ,,willing,つもりだ,I am willing to help her.,喜んで彼女を助けるつもりだ,I am (    ) to help her.,喜んで彼女を助ける(    ),
273 ,,current,今日の,the current international situation,今日の国際状況,the (    ) international situation,(    )国際状況,
274 ,,male,男性の,male workers,男性の労働者,(    ) workers,(    )労働者,
275 ,,proper,適切な,the proper use of words,言葉の適切な使い方,the (    ) use of words,言葉の(    )使い方,
