,,単語,意味,フレーズ,訳,英作問題,和訳問題,
23 ,1 ,part,役割,play a part in the economy,経済で役割を果たす,play a (    ) in the economy,経済で(    )を果たす,
23 ,2 ,part,側,a fault on our part,私たちの側の過失,a fault on our (    ),私たちの(    )の過失,
23 ,3 ,part,手放す,part with the car,車を手放す,(    ) with the car,車を(    ),
24 ,4 ,figure,と思う,I figure you are busy.,君は忙しいと思う,I (    ) you are busy.,君は忙しい(    ),
24 ,1 ,figure,数字,Tell me the exact figures.,正確な数字を教えてくれ,Tell me the exact (    ).,正確な(    )を教えてくれ,
24 ,3 ,figure,スタイル,She has a beautiful figure.,彼女はスタイルが美しい,She has a beautiful (    ).,彼女は(    )が美しい,
24 ,2 ,figure,人物,historical figures,歴史上の人物,historical (    ),歴史上の(    ),
25 ,3 ,character,登場人物,the characters of the novel,その小説の登場人物,the (    ) of the novel,その小説の(    ),
25 ,1 ,character,性格,his true character,彼の本当の性格,his true (    ),彼の本当の(    ),
25 ,2 ,character,人物,He's an odd character.,彼は変わった人物だ,He's an odd (    ).,彼は変わった(    )だ,
26 ,1 ,very,まさにその,the very man I was looking for,私が探していたまさにその男,the (    ) man I was looking for,私が探していた(    )男,
27 ,4 ,order,順,in alphabetical order,アルファベット順で,in alphabetical (    ),アルファベット(    )で,
27 ,1 ,order,を注文する,order a book from England,英国に本を注文する,(    ) a book from England,英国に本(    ),
27 ,2 ,order,命令,carry out his order,彼の命令を遂行する,carry out his (    ),彼の(    )を遂行する,
27 ,3 ,order,秩序,law and order,法と秩序,law and (    ),法と(    ),
28 ,1 ,sound,聞こえる,That sounds true.,それは本当らしく聞こえる,That (    ) true.,それは本当らしく(    ),
28 ,2 ,sound,健全な,a sound body,健全な肉体,a (    ) body,(    )肉体,
28 ,3 ,sound,ぐっすり,She is sound asleep.,彼女はぐっすり眠っている,She is (    ) asleep.,彼女は(    )眠っている,
29 ,1 ,way,点,In some ways they are right.,いくつかの点で彼らは正しい,In some (    ) they are right.,いくつかの(    )で彼らは正しい,
29 ,3 ,way,方,"Come this way, please.",こちらの方へどうぞ,"Come this (    ), please.",こちらの(    )へどうぞ,
29 ,2 ,way,距離,The island is a long way off.,その島までは距離が遠い,The island is a long (    ) off.,その島までは(    )が遠い,
30 ,3 ,concern,に関係する,This problem concerns everyone.,この問題はみんなに関係する,This problem (    ) everyone.,この問題はみんな(    ),
30 ,1 ,concern,不安,concern about the future,将来への不安,(    ) about the future,将来への(    ),
30 ,2 ,concern,思いやり,concern for others,他人への思いやり,(    ) for others,他人への(    ),
30 ,4 ,concern,重要,a matter of great concern,大変重要な問題,a matter of great (    ),大変(    )な問題,
31 ,1 ,even,さらに,This is even better.,これはさらによい,This is (    ) better.,これは(    )よい,
32 ,2 ,still,さらに,a still better idea,さらによい考え,a (    ) better idea,(    )よい考え,
32 ,1 ,still,まだ,He is still working.,まだ彼が働いている,He is (    ) working.,(    )彼が働いている,
32 ,4 ,still,それでも,"It's raining. Still, I have to go.",雨だ。それでも行かねばならない。,"It's raining. (    ), I have to go.",雨だ。(    )行かねばならない。,
32 ,3 ,still,静かに,The water became still.,水は静かになった,The water became (    ).,水は(    )なった,
33 ,1 ,mean,つもりだった,I meant to call you sooner.,すぐに電話するつもりだった,I (    ) to call you sooner.,すぐに電話する(    ),
33 ,2 ,mean,本気で言ってる,I love you. I mean it.,好きだ。本気で言ってるんだ。,I love you. I (    ) it.,好きだ。(    )んだ。,
33 ,3 ,mean,意地悪だ,He is mean to me.,彼は私に意地悪だ,He is (    ) to me.,彼は私に(    ),
34 ,2 ,leave,放置する,leave the door open,ドアを開けたまま放置する,(    ) the door open,ドアを開けたまま(    ),
34 ,3 ,leave,残り,There is little time left.,残り時間はほとんどない,There is little time (    ).,(    )時間はほとんどない,
34 ,1 ,leave,を置き忘れる,leave an umbrella on the train,電車に傘を置き忘れる,(    ) an umbrella on the train,電車に傘(    ),
34 ,4 ,leave,休暇,take paid parental leave,有給の育児休暇を取る,take paid parental (    ),有給の育児(    )を取る,
35 ,1 ,most,たいていの,Most people think so.,たいていの人はそう考える,(    ) people think so.,(    )人はそう考える,
35 ,2 ,most,非常に,a most important point,非常に重要な点,a (    ) important point,(    )重要な点,
36 ,1 ,things,状況,Things have changed.,状況は変わった,(    ) have changed.,(    )は変わった,
37 ,2 ,will,遺言,leave a will,遺言を残す,leave a (    ),(    )を残す,
37 ,1 ,will,意志,against his will,彼の意志に反して,against his (    ),彼の(    )に反して,
38 ,2 ,state,を述べる,state an opinion,意見を述べる,(    ) an opinion,意見(    ),
38 ,1 ,state,状態,an excited state of mind,興奮した精神状態,an excited (    ) of mind,興奮した精神(    ),
38 ,3 ,state,国家,a state secret,国家機密,a (    ) secret,(    )機密,
39 ,2 ,mind,人々,talented minds,才能ある人々,talented (    ),才能ある(    ),
39 ,1 ,mind,いやで,I don't mind walking.,歩くのはいやではない,I don't (    ) walking.,歩くのは(    )はない,
40 ,1 ,help,ずにはいられない,I cannot help laughing.,笑わずにはいられない,I cannot (    ) laughing.,笑わ(    ),
41 ,2 ,matter,物質,soft matter,やわらかい物質,soft (    ),やわらかい(    ),
41 ,3 ,matter,異常だ,Something is the matter with my car.,私の車はどこか異常だ,Something is the (    ) with my car.,私の車はどこか(    ),
41 ,1 ,matter,重要で,It doesn't matter what he says.,彼が何と言おうと重要ではない,It doesn't (    ) what he says.,彼が何と言おうと(    )はない,
42 ,1 ,means,手段,a means of communication,コミュニケーションの手段,a (    ) of communication,コミュニケーションの(    ),
42 ,2 ,means,資産,a man of means,資産家,a man of (    ),(    )家,
43 ,2 ,content,満足している,be content with result,結果に満足している,be (    ) with result,結果に(    ),
43 ,1 ,content,内容,the contents of her letter,彼女の手紙の内容,the (    ) of her letter,彼女の手紙の(    ),
44 ,1 ,respect,点,in some respects,いくつかの点で,in some (    ),いくつかの(    )で,
44 ,2 ,respect,を尊重する,respect the law,法を尊重する,(    ) the law,法(    ),
45 ,1 ,reason,推理する,the ability to reason,推理する能力,the ability to (    ),(    )能力,
45 ,2 ,reason,理性,He lost his reason.,彼は理性を失った,He lost his (    ).,彼は(    )を失った,
46 ,1 ,cause,原因,the cause of the failure,失敗の原因,the (    ) of the failure,失敗の(    ),
46 ,2 ,cause,を引き起こす,cause a lot of trouble,多くの問題を引き起こす,(    ) a lot of trouble,多くの問題(    ),
46 ,3 ,cause,運動,advance the cause of peace,平和運動を推進する,advance the (    ) of peace,平和(    )を推進する,
47 ,1 ,hold,を開く,hold a meeting,会合を開く,(    ) a meeting,会合(    ),
47 ,2 ,hold,と考える,They hold that the earth is flat.,彼らは地球を平らだと考える,They (    ) that the earth is flat.,彼らは地球を平らだ(    ),
48 ,2 ,fortune,運,bring good fortune,幸運をもたらす,bring good (    ),幸(    )をもたらす,
48 ,1 ,fortune,財産,make a fortune in oil,石油で財産を築く,make a (    ) in oil,石油で(    )を築く,
49 ,2 ,humanity,人文科学,science and the humanities,自然科学と人文科学,science and the (    ),自然科学と(    ),
49 ,1 ,humanity,人類,the future of humanity,人類の未来,the future of (    ),(    )の未来,
50 ,1 ,end,目的,a means to an end,目的を果たす手段,a means to an (    ),(    )を果たす手段,
51 ,1 ,form,を作る,form a new company,新しい会社を作る,(    ) a new company,新しい会社(    ),
51 ,2 ,form,用紙,fill out the application form,申込用紙に記入する,fill out the application (    ),申込(    )に記入する,
51 ,3 ,form,一種,Knowledge is a form of power.,知識は一種の力だ,Knowledge is a (    ) of power.,知識は(    )の力だ,
52 ,2 ,change,おつり,Keep the change.,おつりはいりません,Keep the (    ).,(    )はいりません,
52 ,1 ,change,小銭,I have no change with me.,小銭の持ち合わせがない,I have no (    ) with me.,(    )の持ち合わせがない,
53 ,5 ,present,を紹介する,present Mr. Boyd to you,君にボイド氏を紹介する,(    ) Mr. Boyd to you,君にボイド氏(    ),
53 ,2 ,present,現在,the present and future,現在と未来,the (    ) and future,(    )と未来,
53 ,1 ,present,現在の,my present address,現在の住所,my (    ) address,(    )住所,
53 ,4 ,present,を提示する,present a plan to the president,社長に計画を提示する,(    ) a plan to the president,社長に計画(    ),
53 ,3 ,present,出席している,the people present ,出席している人々,the people (    ) ,(    )人々,
53 ,6 ,present,を与える,present the winner with the prize,勝者に賞を与える,(    ) the winner with the prize,勝者に賞(    ),
54 ,2 ,work,うまく行く,This plan will work.,この計画はうまく行く,This plan will (    ).,この計画は(    ),
54 ,1 ,work,作品,works of art,芸術作品,(    ) of art,芸術(    ),
55 ,1 ,lead,引き起こす,One thing leads to another.,ひとつの事が別の事を引き起こす,One thing (    ) to another.,ひとつの事が別の事を(    ),
55 ,3 ,lead,一流の,leading artists,一流のアーティスト,(    ) artists,(    )アーティスト,
55 ,2 ,lead,を送る,lead a happy life,幸福な生活を送る,(    ) a happy life,幸福な生活(    ),
56 ,1 ,life,生物,There is no life on the moon.,月には生物がいない,There is no (    ) on the moon.,月には(    )がいない,
57 ,1 ,care,気にし,I don't care what you say.,君が何と言おうと気にしない,I don't (    ) what you say.,君が何と言おうと(    )ない,
57 ,2 ,care,世話,A baby requires a constant care.,赤ちゃんはつねに世話が必要だ,A baby requires a constant (    ).,赤ちゃんはつねに(    )が必要だ,
58 ,2 ,class,授業,sleep in class,授業中にいねむりする,sleep in (    ),(    )中にいねむりする,
58 ,1 ,class,階級,middle-class families,中流階級の家庭,middle-(    ) families,中流(    )の家庭,
59 ,1 ,natural,生まれながらの,his natural abilities,彼の生まれながらの才能,his (    ) abilities,彼の(    )才能,
60 ,1 ,free,無い,a life free from stress,ストレスの無い生活,a life (    ) from stress,ストレスの(    )生活,
60 ,2 ,free,解放する,free them from work,彼らを労働から解放する,(    ) them from work,彼らを労働から(    ),
61 ,1 ,head,向かう,head straight for Paris,まっすぐパリに向かう,(    ) straight for Paris,まっすぐパリに(    ),
61 ,2 ,head,率いられた,a team headed by a woman,女性に率いられたチーム,a team (    ) by a woman,女性に(    )チーム,
62 ,3 ,deal,取引,make a deal with Microsoft,マイクロソフトと取引する,make a (    ) with Microsoft,マイクロソフトと(    )する,
62 ,2 ,deal,大量,a great deal of data,大量のデータ,a great (    ) of data,(    )のデータ,
62 ,1 ,deal,処理する,deal with the problem,問題を処理する,(    ) with the problem,問題を(    ),
63 ,1 ,view,見解,my view of education,教育に関する私の見解,my (    ) of education,教育に関する私の(    ),
63 ,2 ,view,考える,view Japan as a safe society,日本を安全な社会と考える,(    ) Japan as a safe society,日本を安全な社会と(    ),
64 ,1 ,chance,可能性,the chance of making them angry,彼らを怒らせる可能性,the (    ) of making them angry,彼らを怒らせる(    ),
65 ,4 ,close,終わり,the close of the 20th century,20世紀の終わり,the (    ) of the 20th century,20世紀の(    ),
65 ,2 ,close,親しい,a close friend ,親しい友達,a (    ) friend ,(    )友達,
65 ,1 ,close,近い,very close to the city,都市にとても近い,very (    ) to the city,都市にとても(    ),
65 ,3 ,close,綿密な,a close examination,綿密な検査,a (    ) examination,(    )検査,
66 ,2 ,interest,利,lend money at high interest rates ,高い利率でお金を貸す,lend money at high (    ) rates ,高い(    )率でお金を貸す,
66 ,1 ,interest,利益,protect workers' interests,労働者の利益を守る,protect workers' (    ),労働者の(    )を守る,
67 ,1 ,fail,できない,fail to understand him,彼を理解できない,(    ) to understand him,彼を理解(    ),
68 ,2 ,major,専攻する,major in economics,経済学を専攻する,(    ) in economics,経済学を(    ),
68 ,1 ,major,主要な,a major problem,主要な問題,a (    ) problem,(    )問題,
69 ,2 ,agree,同じ考えである,I agree with you.,私も君と同じ考えである,I (    ) with you.,私も君と(    ),
69 ,1 ,agree,同意する,agree to his proposal ,彼の提案に同意する,(    ) to his proposal ,彼の提案に(    ),
70 ,1 ,rule,支配,British colonial rule,イギリスの植民地支配,British colonial (    ),イギリスの植民地(    ),
70 ,2 ,rule,普通,Small families are the rule in Japan. ,日本では小家族が普通だ,Small families are the (    ) in Japan. ,日本では小家族が(    )だ,
71 ,3 ,process,を処理する,process data with a computer ,コンピュータでデータを処理する,(    ) data with a computer ,コンピュータでデータ(    ),
71 ,1 ,process,過程,the process of thought,思考の過程,the (    ) of thought,思考の(    ),
71 ,2 ,process,を加工する,how to process meat,肉を加工する方法,how to (    ) meat,肉(    )方法,
72 ,3 ,amount,等しい,This act amounts to stealing.,この行為は盗みに等しい,This act (    ) to stealing.,この行為は盗みに(    ),
72 ,2 ,amount,になる,The expenses amount to $90. ,経費は合計90ドルになる,The expenses (    ) to $90. ,経費は合計90ドル(    ),
72 ,1 ,amount,量,a large amount of water,大量の水,a large (    ) of water,大(    )の水,
73 ,1 ,long,切望する,long for world peace,世界平和を切望する,(    ) for world peace,世界平和を(    ),
74 ,4 ,line,種類,this line of business,こういう種類の仕事,this (    ) of business,こういう(    )の仕事,
74 ,2 ,line,列,wait in line,一列に並んで待つ,wait in (    ),一(    )に並んで待つ,
74 ,1 ,line,電話,The line is busy.,電話が話し中だ,The (    ) is busy.,(    )が話し中だ,
74 ,3 ,line,短い手紙,drop him a line,彼に短い手紙を書く,drop him a (    ),彼に(    )を書く,
75 ,1 ,letter,文字,a word of six letters,６文字の単語,a word of six (    ),６(    )の単語,
76 ,5 ,subject,被験者,the subject of the experiment,その実験の被験者,the (    ) of the experiment,その実験の(    ),
76 ,4 ,subject,学科,My favorite subject is math. ,好きな学科は数学です,My favorite (    ) is math. ,好きな(    )は数学です,
76 ,2 ,subject,かかりやすい,I am subject to illness. ,私は病気にかかりやすい,I am (    ) to illness. ,私は病気に(    ),
76 ,1 ,subject,支配される,People are subject to the law.,人は法に支配される,People are (    ) to the law.,人は法に(    ),
76 ,3 ,subject,話題,Let's change the subject.,話題を変えよう,Let's change the (    ).,(    )を変えよう,
77 ,2 ,rest,休息,Let's take a rest.,休息をとろう,Let's take a (    ).,(    )をとろう,
77 ,1 ,rest,残り,the rest of his life,彼の残りの人生,the (    ) of his life,彼の(    )の人生,
78 ,2 ,fine,罰金を科さ,be fined $60,60ドルの罰金を科される,be (    ) $60,60ドルの(    )れる,
78 ,1 ,fine,罰金,the fine for speeding ,スピード違反の罰金,the (    ) for speeding ,スピード違反の(    ),
78 ,3 ,fine,細かい,fine sand on the beach,海岸の細かい砂,(    ) sand on the beach,海岸の(    )砂,
79 ,1 ,wear,すり減って,My shoes have worn thin. ,靴がすり減って薄くなった,My shoes have (    ) thin. ,靴が(    )薄くなった,
80 ,1 ,remember,よろしくお伝え,Please remember me to your wife. ,奥さんによろしくお伝えください,Please (    ) me to your wife. ,奥さんに(    )ください,
80 ,2 ,remember,忘れずに,remember to lock the door,忘れずにドアにカギをかける,(    ) to lock the door,(    )ドアにカギをかける,
81 ,3 ,cover,進む,cover 120 miles an hour,１時間に120マイル進む,(    ) 120 miles an hour,１時間に120マイル(    ),
81 ,2 ,cover,を報道[取材]する,cover the big news ,大ニュースを報道[取材]する,(    ) the big news ,大ニュース(    ),
81 ,1 ,cover,をまかなう,The insurance covers the cost.,保険で費用をまかなう,The insurance (    ) the cost.,保険で費用(    ),
82 ,1 ,book,を予約する,book a flight,飛行機を予約する,(    ) a flight,飛行機(    ),
83 ,1 ,store,を蓄える,store information in a computer,コンピュータに情報を蓄える,(    ) information in a computer,コンピュータに情報(    ),
84 ,3 ,save,を除き,answer all the questions save one,一つを除きすべての質問に答える,answer all the questions (    ) one,一つ(    )すべての質問に答える,
84 ,2 ,save,を省く,save time and trouble,時間と手間を省く,(    ) time and trouble,時間と手間(    ),
84 ,1 ,save,を蓄える,save money for a new house,新しい家のためにお金を蓄える,(    ) money for a new house,新しい家のためにお金(    ),
85 ,1 ,serve,を出す,serve good food ,うまい料理を出す,(    ) good food ,うまい料理(    ),
85 ,3 ,serve,に仕える,serve the king,王に仕える,(    ) the king,王(    ),
85 ,2 ,serve,に役立つ,serve many purposes,多くの目的に役立つ,(    ) many purposes,多くの目的(    ),
86 ,2 ,account,原因だ,This accounts for the failure.,これが失敗の原因だ,This (    ) for the failure.,これが失敗の(    ),
86 ,3 ,account,説明する,account for the difference,違いを説明する,(    ) for the difference,違いを(    ),
86 ,1 ,account,占める,Black people account for 10% of the population.,黒人が人口の10％を占める,Black people (    ) for 10% of the population.,黒人が人口の10％を(    ),
87 ,1 ,art,技術,the art of writing,書く技術,the (    ) of writing,書く(    ),
88 ,2 ,fire,発砲する,fire into the crowd,群衆に向かって発砲する,(    ) into the crowd,群衆に向かって(    ),
88 ,1 ,fire,クビになった,He was fired from his job.,彼は仕事をクビになった,He was (    ) from his job.,彼は仕事を(    ),
89 ,1 ,object,物体,a strange flying object,奇妙な飛行物体,a strange flying (    ),奇妙な飛行(    ),
89 ,2 ,object,対象,an object of study,研究の対象,an (    ) of study,研究の(    ),
89 ,3 ,object,反対する,object to his drinking,彼が酒を飲むのに反対する,(    ) to his drinking,彼が酒を飲むのに(    ),
90 ,1 ,manage,何とか,manage to catch the train,何とか列車に間に合う,(    ) to catch the train,(    )列車に間に合う,
90 ,2 ,manage,を経営する,manage a big company,大会社を経営する,(    ) a big company,大会社(    ),
91 ,1 ,ground,根拠,On what grounds do you say that?,どんな根拠でそう言うのか？,On what (    ) do you say that?,どんな(    )でそう言うのか？,
92 ,1 ,assume,と思い込む,assume that money can buy happiness,金で幸福が買えると思い込む,(    ) that money can buy happiness,金で幸福が買える(    ),
92 ,2 ,assume,を引き受ける,assume responsibility,責任を引き受ける,(    ) responsibility,責任(    ),
93 ,2 ,direct,を向ける,direct his attention to the fact,その事実に彼の注意を向ける,(    ) his attention to the fact,その事実に彼の注意(    ),
93 ,1 ,direct,直接の,direct contact,直接の接触,(    ) contact,(    )接触,
93 ,3 ,direct,道を教える,direct her to the station,彼女に駅への道を教える,(    ) her to the station,彼女に駅への(    ),
93 ,4 ,direct,に指図する,direct the workers,労働者たちに指図する,(    ) the workers,労働者たち(    ),
94 ,1 ,fault,責任,"If he fails, it'll be my fault.",彼が失敗したら私の責任だ,"If he fails, it'll be my (    ).",彼が失敗したら私の(    )だ,
94 ,2 ,fault,欠点,He has a lot of faults.,彼は欠点が多い,He has a lot of (    ).,彼は(    )が多い,
95 ,3 ,due,予定だ,The train is due to arrive at ten.,その列車は10時に着く予定だ,The train is (    ) to arrive at ten.,その列車は10時に着く(    ),
95 ,4 ,due,期限だ,The report is due next Wednesday.,レポートは水曜が期限だ,The report is (    ) next Wednesday.,レポートは水曜が(    ),
95 ,2 ,due,十分な,pay due respect,十分な敬意を払う,pay (    ) respect,(    )敬意を払う,
95 ,1 ,due,のせいで,He is tired due to lack of sleep.,睡眠不足のせいで疲れている,He is tired (    ) to lack of sleep.,睡眠不足(    )疲れている,
96 ,3 ,manner,行儀,It's bad manners to spit.,つばを吐くのは行儀が悪い,It's bad (    ) to spit.,つばを吐くのは(    )が悪い,
96 ,1 ,manner,方法,in a scientific manner,科学的な方法で,in a scientific (    ),科学的な(    )で,
96 ,2 ,manner,態度,her friendly manner,彼女の好意的な態度,her friendly (    ),彼女の好意的な(    ),
97 ,1 ,pretty,かなり,a pretty long time,かなり長い間,a (    ) long time,(    )長い間,
98 ,3 ,strike,を襲った,The typhoon struck Osaka.,その台風は大阪を襲った,The typhoon (    ) Osaka.,その台風は大阪(    ),
98 ,1 ,strike,印象を与えた,The man struck me as strange.　,その男は私に奇妙な印象を与えた,The man (    ) me as strange.　,その男は私に奇妙な(    ),
98 ,2 ,strike,浮かんだ,Suddenly an idea struck him.,突然彼にある考えが浮かんだ,Suddenly an idea (    ) him.,突然彼にある考えが(    ),
99 ,1 ,exercise,運動,get regular exercise,規則的に運動する,get regular (    ),規則的に(    )する,
99 ,2 ,exercise,を用いる,exercise power over people,人々に対し権力を用いる,(    ) power over people,人々に対し権力(    ),
100 ,1 ,maintain,を維持する,maintain health,健康を維持する,(    ) health,健康(    ),
100 ,2 ,maintain,を主張する,maintain that he is innocent,彼の無罪を主張する,(    ) that he is innocent,彼の無罪(    ),
101 ,2 ,firm,堅い,a firm belief,堅い信念,a (    ) belief,(    )信念,
101 ,1 ,firm,会社,work for a big firm,大きな会社に勤める,work for a big (    ),大きな(    )に勤める,
102 ,1 ,article,記事,a newspaper article,新聞の記事,a newspaper (    ),新聞の(    ),
102 ,2 ,article,品物,an article for sale,販売用の品物,an (    ) for sale,販売用の(    ),
103 ,1 ,count,重要な,That's what counts.,それが重要なことだ,That's what (    ).,それが(    )ことだ,
104 ,2 ,appreciate,を鑑賞する,appreciate music,音楽を鑑賞する,(    ) music,音楽(    ),
104 ,3 ,appreciate,に感謝する,I appreciate your help.,君の助けに感謝する,I (    ) your help.,君の助け(    ),
104 ,1 ,appreciate,を高く評価する,appreciate his talent,彼の才能を高く評価する,(    ) his talent,彼の才能(    ),
105 ,2 ,measure,程度,a measure of respect,ある程度の尊敬,a (    ) of respect,ある(    )の尊敬,
105 ,1 ,measure,手段,take strong measures,強硬な手段を用いる,take strong (    ),強硬な(    )を用いる,
106 ,1 ,command,あやつる能力,have a good command of English,英語をうまくあやつる能力がある,have a good (    ) of English,英語をうまく(    )がある,
106 ,2 ,command,をみわたせる,The hill commands a fine view.,丘からいい景色をみわたせる,The hill (    ) a fine view.,丘からいい景色(    ),
106 ,3 ,command,を集める,command great respect,大いに尊敬を集める,(    ) great respect,大いに尊敬(    ),
107 ,3 ,bear,を持つ,bear relation to the matter,その問題に関係を持つ,(    ) relation to the matter,その問題に関係(    ),
107 ,2 ,bear,を産む,bear a child,子供を産む,(    ) a child,子供(    ),
107 ,1 ,bear,に耐える,bear the pain,痛みに耐える,(    ) the pain,痛み(    ),
108 ,4 ,stick,残った,The song stuck in my mind.,その歌は私の心に残った,The song (    ) in my mind.,その歌は私の心に(    ),
108 ,2 ,stick,動けなく,get stuck on a crowded train,混んだ列車で動けなくなる,get (    ) on a crowded train,混んだ列車で(    )なる,
